id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,description,photos
6308,Hunter the Reckoning Redeemer,Xbox,1310,"Game, Box, Manual",Normal wear,,,
7324,Family Feud,Super Nintendo,475,Game only,Normal wear,,,
6948,Home Alone,Super Nintendo,850,Game only,Normal wear,,,
9778,Sonic 3D Blast,Sega Genesis,974,Game only,Normal wear,,,
37970,Gyromite [5 Screw],NES,662,Game only,Normal wear,,,
4437,Final Fantasy IX,Playstation,1999,"Game, Box, Manual",Normal wear,,,
6901,Donkey Kong Country 2,Super Nintendo,2459,"Box, Manual",Normal wear,,,
4697,Resident Evil 2,Playstation,3361,"Game, Box",Normal wear,,,
49921,Need for Speed Carbon [Greatest Hits],Playstation 2,695,Game only,Normal wear,,,
11693,Just Cause,Playstation 2,832,"Game, Box, Manual",Normal wear,,,
12462,Taboo the Sixth Sense,NES,699,Game only,Normal wear,,,
5799,Spiderman 2,Playstation 2,1317,"Game, Box, Manual",Normal wear,,,
5679,Rebel Raiders Operation Nighthawk,Playstation 2,402,"Game, Box, Manual",Normal wear,,,
11577,Kya Dark Lineage,Playstation 2,1355,"Game, Box, Manual",Normal wear,,,
8897,Ecco the Dolphin,Sega Genesis,910,Game only,Normal wear,,,
4332,Command and Conquer Red Alert Retaliation,Playstation,1999,"Game, Box, Manual",Normal wear,,,
14336,Get on Da Mic,Playstation 2,367,"Game, Box, Manual",Normal wear,,,
15378,Pac-Man,Atari 2600,871,Game only,Normal wear,,,
6701,Turok Evolution,Xbox,895,"Game, Box, Manual",Normal wear,,,
3437,NCAA Football 2003,Gamecube,707,"Game, Box",Normal wear,,,
8517,Arcade Classics,Sega Genesis,698,Game only,Normal wear,,,
13818,Super Caesar's Palace,Super Nintendo,298,Game only,Normal wear,,,
7191,The Lion King,Super Nintendo,1025,Game only,Normal wear,,,
5104,Dark Cloud,Playstation 2,1250,"Game, Box, Manual",Normal wear,,,
4336,Crash Bandicoot,Playstation,1485,Game only,Normal wear,,,
4544,Sheep Raider,Playstation,3464,"Game, Box, Manual",Normal wear,,,
4770,Spyro Year of the Dragon,Playstation,845,Game only,Normal wear,,,
13835,Cobra Command,Sega CD,1179,Game only,Normal wear,,,
9941,Teenage Mutant Ninja Turtles,NES,758,Game only,Normal wear,,,
12515,Werewolf,NES,1411,Game only,Normal wear,,,
3638,Viewtiful Joe,Gamecube,3759,"Game, Box, Manual",Normal wear,,,
30306,Fable,Xbox,895,"Game, Box, Manual",Normal wear,,w/bonus dvd,
6986,Lufia and The Fortress of Doom,Super Nintendo,5200,Game only,Normal wear,,,
9060,Grandia II,Sega Dreamcast,4498,"Game, Box, Manual",Normal wear,,,
5759,Silent Hill 4: The Room,Playstation 2,7177,"Game, Box",Normal wear,,,
3669,Zelda Ocarina of Time Master Quest,Gamecube,3953,Game only,Normal wear,,,
5619,Oni,Playstation 2,1699,"Game, Box, Manual",Normal wear,,,
11053,Final Fight Streetwise,Xbox,1791,"Game, Box",Normal wear,,,
3830,Mischief Makers,Nintendo 64,3497,Game only,Normal wear,,,
13776,TMNT,Playstation 2,846,"Game, Box",Normal wear,,,
4460,Gex,Playstation,1854,"Game, Box, Manual",Normal wear,,,
4468,Gran Turismo,Playstation,970,"Game, Box",Normal wear,,,
9868,Street Fighter II Special Champion Edition,Sega Genesis,929,Game only,Normal wear,,,
9315,Mega Man 3,NES,1854,Game only,Normal wear,,,
34075,WWF Raw,Sega 32X,2299,Game only,Normal wear,,,
6044,Zone of Enders 2nd Runner,Playstation 2,1022,"Game, Manual",Normal wear,,,
6925,Final Fantasy II,Super Nintendo,3998,Game only,Normal wear,,,
3933,Tony Hawk,Nintendo 64,1629,Game only,Normal wear,,,
3859,Nuclear Strike,Nintendo 64,1399,Game only,Normal wear,,,
3552,Spiderman,Gamecube,997,"Game, Box, Manual",Normal wear,,,
9374,Mortal Kombat II,Sega Genesis,1749,"Game, Box, Manual",Normal wear,,,
5121,Devil May Cry,Playstation 2,625,"Game, Box, Manual",Normal wear,,,
19316,Transformers: Revenge of the Fallen,Playstation 2,597,"Game, Box, Manual",Normal wear,,,
30306,Fable,Xbox,895,"Game, Box, Manual",Normal wear,,,
5364,Jimmy Neutron Jet Fusion,Playstation 2,725,"Game, Box, Manual",Normal wear,,,
4758,Space Invaders,Playstation,899,"Game, Box, Manual",Normal wear,,,
7145,Super Nintendo System,Super Nintendo,8998,Console only,Normal wear,,,
15138,Breakout,Atari 2600,740,Game only,Normal wear,,,
2285,Kingdom Hearts Chain of Memories,GameBoy Advance,781,Game only,Normal wear,,,
12283,Joust,NES,845,Game only,Normal wear,,,
15015,Nightshade,Playstation 2,3206,"Game, Box",Normal wear,,,
5937,Tony Hawk 4,Playstation 2,1200,"Game, Box, Manual",Normal wear,,,
